id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
627,2017,Mumbai,2017-05-11,League,WP Saha,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,runs,7,231,20,N,NA,A Deshmukh,A Nand Kishore
628,2017,Delhi,2017-05-12,League,KK Nair,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Delhi Daredevils,runs,7,169,20,N,NA,KN Ananthapadmanabhan,CK Nandan
629,2017,Kanpur,2017-05-13,League,Mohammed Siraj,Green Park,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8,155,20,N,NA,AK Chaudhary,Nitin Menon
630,2017,Kolkata,2017-05-13,League,AT Rayudu,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,runs,9,174,20,N,NA,A Nand Kishore,S Ravi
631,2017,Pune,2017-05-14,League,JD Unadkat,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,9,74,20,N,NA,AY Dandekar,A Deshmukh
632,2017,Delhi,2017-05-14,League,HV Patel,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,10,162,20,N,NA,CK Nandan,C Shamshuddin
633,2017,Mumbai,2017-05-16,Qualifier 1,Washington Sundar,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,runs,20,163,20,N,NA,S Ravi,C Shamshuddin
634,2017,Bangalore,2017-05-17,Eliminator,NM Coulter-Nile,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,48,6,N,D/L,AK Chaudhary,Nitin Menon
635,2017,Bangalore,2017-05-19,Qualifier 2,KV Sharma,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,6,108,20,N,NA,NJ Llong,Nitin Menon
636,2017,Hyderabad,2017-05-21,Final,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Mumbai Indians,runs,1,130,20,N,NA,NJ Llong,S Ravi
637,2018,Mumbai,2018-04-07,League,DJ Bravo,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,1,166,20,N,NA,CB Gaffaney,A Nand Kishore
638,2018,Chandigarh,2018-04-08,League,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6,167,20,N,NA,KN Ananthapadmanabhan,RJ Tucker
639,2018,Kolkata,2018-04-08,League,SP Narine,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4,177,20,N,NA,A Deshmukh,C Shamshuddin
640,2018,Hyderabad,2018-04-09,League,S Dhawan,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9,126,20,N,NA,NJ Llong,VA Kulkarni
641,2018,Chennai,2018-04-10,League,SW Billings,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5,203,20,N,NA,AK Chaudhary,CB Gaffaney
642,2018,Jaipur,2018-04-11,League,SV Samson,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,runs,10,71,6,N,D/L,KN Ananthapadmanabhan,Nitin Menon
643,2018,Hyderabad,2018-04-12,League,Rashid Khan,Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,1,148,20,N,NA,CK Nandan,NJ Llong
644,2018,Bengaluru,2018-04-13,League,UT Yadav,M.Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4,156,20,N,NA,A Deshmukh,S Ravi
645,2018,Mumbai,2018-04-14,League,JJ Roy,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,7,195,20,N,NA,KN Ananthapadmanabhan,Nitin Menon
646,2018,Kolkata,2018-04-14,League,B Stanlake,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,139,20,N,NA,AK Chaudhary,A Nand Kishore
647,2018,Bengaluru,2018-04-15,League,SV Samson,M.Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,runs,19,218,20,N,NA,C Shamshuddin,S Ravi
648,2018,Chandigarh,2018-04-15,League,CH Gayle,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,runs,4,198,20,N,NA,CK Nandan,VA Kulkarni
649,2018,Kolkata,2018-04-16,League,N Rana,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders,runs,71,201,20,N,NA,AK Chaudhary,A Nand Kishore
650,2018,Mumbai,2018-04-17,League,RG Sharma,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,runs,46,214,20,N,NA,Nitin Menon,RJ Tucker
651,2018,Jaipur,2018-04-18,League,N Rana,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,161,20,N,NA,A Deshmukh,S Ravi
652,2018,Chandigarh,2018-04-19,League,CH Gayle,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Kings XI Punjab,runs,15,194,20,N,NA,AK Chaudhary,NJ Llong
653,2018,Pune,2018-04-20,League,SR Watson,Maharashtra Cricket Association Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,64,205,20,N,NA,KN Ananthapadmanabhan,Nitin Menon
654,2018,Kolkata,2018-04-21,League,KL Rahul,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,9,125,13,N,D/L,A Deshmukh,C Shamshuddin
655,2018,Bengaluru,2018-04-21,League,AB de Villiers,M.Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6,175,20,N,NA,CB Gaffaney,CK Nandan
656,2018,Hyderabad,2018-04-22,League,AT Rayudu,Rajiv Gandhi International Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,runs,4,183,20,N,NA,AK Chaudhary,VA Kulkarni
657,2018,Jaipur,2018-04-22,League,JC Archer,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,3,168,20,N,NA,KN Ananthapadmanabhan,RJ Tucker
658,2018,Delhi,2018-04-23,League,AS Rajpoot,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,runs,4,144,20,N,NA,A Nand Kishore,CK Nandan
659,2018,Mumbai,2018-04-24,League,Rashid Khan,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,runs,31,119,20,N,NA,C Shamshuddin,S Ravi
660,2018,Bengaluru,2018-04-25,League,MS Dhoni,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5,206,20,N,NA,NJ Llong,VK Sharma
661,2018,Hyderabad,2018-04-26,League,AS Rajpoot,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,13,133,20,N,NA,CK Nandan,YC Barde
662,2018,Delhi,2018-04-27,League,SS Iyer,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils,runs,55,220,20,N,NA,C Shamshuddin,S Ravi
663,2018,Pune,2018-04-28,League,RG Sharma,Maharashtra Cricket Association Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8,170,20,N,NA,CB Gaffaney,Nitin Menon
